OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
EG-C01-001	Ryan																		
EG-C01-043	Daniel Agnello	15.6																	
EG-C01-044	Ryan																		
EG-C01-045	Ryan																		
EG-C01-046	Ryan																		
EG-C01-047	Ryan																		
EG-C02-002	Bri																		
EG-C02-048	Bri																		
EG-C02-049	Bri																		
EG-C02-050	Bri																		
EG-C02-051	Bri																		
EG-C02-052	Bri																		
EG-C03-053	Bri																		
EG-C03-055	Bri																		
EG-C04-004	Ryan																		
EG-C04-058	Ryan																		
EG-C04-059	Ryan																		
EG-C04-060	Daniel Agnello	14.9																	
EG-C04-062	Ryan																		
EG-C05-005	Bri																		
EG-C05-063	Bri																		
EG-C05-064	Bri																		
EG-C05-065	Bri																		
EG-C05-067	Bri																		
EG-C06-006	Bri																		
EG-06-069	Ryan																		
EG-C06-070	Ryan																		
EG-C06-071	Bri																		
EG-C06-072	Bri																		
EG-C07-007	Bri																		
EG-C07-073	Bri																		
EG-C07-074	Bri																		
EG-C07-075	Bri																		
EG-C07-076	Bri																		
EG-C07-077	Bri																		
EG-C08-008	Bri																		
EG-C08-078	Bri																		
EG-C08-079	Bri																		
EG-C08-080	Bri																		
EG-C08-081	Bri																		
EG-C08-082	Bri																		
EG-C09-009	Ryan																		
EG-C09-083	Alex																		
EG-C09-084	Alex																		
EG-C09-085	Ryan																		
EG-C11-011	Alex																		
EG-C11-093	Ryan																		
EG-C11-095	Alex																		
EG-C11-097	Ryan																		
EG-C12-012	Ryan																		
EG-C12-100	Daniel Agnello	8.3																	
EG-C12-101	Ryan																		
EG-C12-102	Daniel Agnello	9.4																	
EG-C14-014	Ryan																		
EG-C14-108	Bri																		
EG-C14-110	Bri																		
EG-C14-111	Bri																		
EG-C14-112	Bri																		
EG-C15-015	Alex																		
EG-C15-113	Alex																		
EG-C15-114	Alex																		
EG-C15-116	Alex																		
EG-C15-117	Alex																		
EG-C16-016	Alex	19																	
EG-C16-118	Daniel Agnello	18.5																	
EG-C16-119	Ryan																		
EG-C16-120	Ryan																		
EG-C16-121	Ryan																		
EG-C16-122	Daniel Agnello	18.6																	
EG-C17-017	Ryan																		
EG-C17-123	Ryan																		
EG-C17-125	Ryan																		
EG-C17-127	Ryan																		
EG-C18-018	Ryan																		
EG-C18-120	Ryan																		
EG-C18-130	Ryan																		
EG-C18-131	Ryan																		
EG-C18-132	Ryan																		
EG-C19-019	Ryan																		
EG-C19-133	Alex																		
EG-C19-134	Alex																		
EG-C20-020	Ryan																		
EG-C20-138	Ryan																		
EG-C20-139	Ryan																		
EG-C20-140	Ryan																		
EG-C20-141	Ryan																		
EG-C20-142	Ryan																		
EG-C21-021	Bri																		
EG-C22-149	Ryan																		
EG-C23-023	Ryan																		
EG-C23-153	Ryan																		
EG-C23-155	Ryan																		
EG-C24-024	Bri																		
EG-C24-158	Bri																		
EG-C24-159	Bri																		
EG-C24-160	Ryan																		
EG-C24-162	Bri																		
EG-C25-163	Bri																		
EG-C25-164	Bri																		
EG-C25-166	Bri																		
EG-C26-026	Ryan																		
EG-C26-168	Ryan																		
EG-C26-170	Ryan																		
EG-C26-171	Ryan																		
EG-C26-172	Ryan																		
EG-C27-027	Ryan																		
EG-C27-173	Alex																		
EG-C27-174	Alex																		
EG-C27-175	Ryan																		
EG-C27-176	Alex																		
EG-C27-177	Ryan																		
EG-C29-029	Alex																		
EG-C29-183	Alex																		
EG-C29-184	Alex																		
EG-C29-185	Ryan																		
EG-C29-186	Ryan																		
EG-C29-187	Ryan																		
EG-C30-030	Ryan																		
EG-C30-188	Ryan																		
EG-C30-190	Daniel Agnello	17.4																	
EG-C30-192	Daniel Agnello	18.9																	
EG-C31-193	Ryan																		
EG-C31-194	Bri																		
EG-C32-032	Bri																		
EG-C32-198	Bri																		
EG-C32-199	Bri																		
EG-C32-200	Bri																		
EG-C32-201	Bri																		
EG-C32-202	Bri																		
EG-C33-203	Ryan																		
EG-C33-204	Alex																		
EG-C33-205	Ryan																		
EG-C33-206	Ryan																		
EG-C34-034	Alex																		
EG-C34-208	Alex																		
EG-C34-210	Alex																		
EG-C34-212	Alex																		
EG-C35-213	Ryan																		
EG-C35-214	Ryan																		
EG-C35-215	Ryan																		
EG-C36-036	Alex																		
EG-C36-218	Alex																		
EG-C36-219	Alex																		
EG-C36-220	Alex																		
EG-C36-221	Alex																		
EG-C36-222	Alex																		
EG-C38-038	Alex																		
EG-C38-228	Alex																		
EG-C38-229	Alex																		
EG-C38-230	Alex																		
EG-C38-231	Alex																		
EG-C38-232	Alex																		
EG-C39-235	Alex																		
EG-C40-040	Ryan																		
EG-C40-238	Ryan																		
EG-C40-239	Alex																		
EG-C40-240	Alex																		
EG-C40-241	Alex																		
EG-C40-242	Alex																		
EG-C41-243	Bri																		
EG-C41-246	Bri																		
EG-C42-042	Alex																		
EG-C42-250	Alex																		
EG-C42-251	Alex																		
EG-C42-252	Alex																		
EG-CPO-002	Bri																		
EG-CPO-003	Bri																		
EG-CPO-004	Bri																		
EG-CPO-005	Bri																		
EG-CPO-007	Daniel Agnello	11.1																	
EG-CPO-013	Bri																		
EG-CPO-014	Daniel Agnello	7																	
EG-CPO-016	Alex																		
EG-CPO-017	AM																		
EG-CPO-018	Alex																		
EG-CPO-019	Ryan																		
EG-CPO-020	Ryan																		
EG-CPO-021	Alex																		
EG-CPO-022	Alex																		
EG-CPO-023	Ryan																		
EG-CPO-024	Alex																		
EG-CPO-025	Alex																		
EG-CPO-026	Ryan																		
EG-CPO-027	Ryan																		
EG-CPO-028-A	Ryan																		
EG-CPO-028-B	Ryan																		
EG-CPO-029	Ryan																		
EG-CPO-031	Ryan																		
EG-CPO-034	Bri																		
EG-CPO-035	Bri																		
EG-CPO-036	Ryan																		
EG-CPO-037	Ryan																		
EG-CPO-041	Alex																		
EG-CPO-042	Alex																		
EG-CPO-044	Bri																		
EG-CPO-046	Bri																		
EG-CPO-047	Alex																		
EG-CPO-048	Alex																		
EG-CPO-049	Alex																		
EG-CPO-051	Alex																		
EG-CPO-052	Bri																		
EG-CPO-053	Alex																		
EG-CPO-054	Bri																		
EG-CPO-055	Alex																		
EG-CPO-056	Alex																		
EG-CPO-057	Bri																		
EG-CPO-058	Alex																		
EG-CPO_059	Bri																		
EG-CPO-060	Alex																		
EG-CPT-004	Alex																		
EG-CPT-005	Ryan																		
EG-CPT-006	Ryan																		
EG-CPT-007	Ryan																		
EG-CPT-008	Ryan																		
EG-CPT-009	Ryan																		
EG-CPT-010	Ryan																		
EG-CPT-011	Ryan																		
EG-CPT-012	Ryan																		
