OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
10_1	NFH			Lights		Substrate CATAMI		Biota CATAMI											
10_2	NFH			Lights		Substrate CATAMI		Biota CATAMI											
10_3	NFH			Lights		Substrate CATAMI		Biota CATAMI											
10_4	NFH			Lights		Substrate CATAMI		Biota CATAMI											
10_5	NFH			Lights		Substrate CATAMI		Biota CATAMI											
10_6	NFH			Lights		Substrate CATAMI		Biota CATAMI											
11_1	NFH																		
11_2	NFH																		
11_3	NFH																		
11_4	NFH																		
11_5	NFH																		
11_6	NFH																		
12_1	NFH																		
12_2	NFH																		
12_3	NFH																		
12_4	NFH																		
12_5	NFH																		
12_6	NFH																		
13_1	NFH			Lights		Substrate CATAMI		Biota CATAMI											
13_2	NFH																		
13_3	NFH																		
13_4	NFH																		
13_5	NFH																		
13_6	NFH																		
14_1	SW			Lights		Substrate CATAMI		Biota CATAMI											
14_2	SW			Lights	White	Substrate CATAMI		Biota CATAMI											
14_3	NFH																		
14_4	NFH																		
14_5	NFH																		
14_6	NFH																		
15_1	NFH																		
15_2	NFH																		
15_3	NFH																		
15_4	NFH																		
15_5	NFH																		
15_6	NFH																		
16_1	DS																		
16_2	DS																		
16_3	DS																		
16_4	DS																		
16_5	DS																		
16_6	DS																		
17_1	DS																		
17_2	DS																		
17_3	DS																		
17_4	DS																		
17_5	DS																		
17_6	DS																		
18_1	DS																		
18_2	DS																		
18_3	DS																		
18_4	DS																		
18_5	DS																		
18_6	DS																		
19_1	DS																		
19_2	DS																		
19_3	DS																		
19_4	DS																		
19_5	DS																		
19_6	DS																		
1_1	ashlee b			Lights	White	Substrate CATAMI		Biota CATAMI											
1_2	ashlee b			Lights	White	Substrate CATAMI		Biota CATAMI											
1_3	ashlee b			Lights	White	Substrate CATAMI		Biota CATAMI											
1_4	ashlee b			Lights	White	Substrate CATAMI		Biota CATAMI											
1_5	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
1_6	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
20_1	DS																		
20_2	DS																		
20_3	DS																		
20_4	DS																		
20_5	DS																		
20_6	DS																		
21_1	DS																		
21_2	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
21_3	DS																		
21_4	DS																		
21_5	DS																		
21_6	DS																		
22_1	ashlee 			Lights	white	Substrate CATAMI		Biota CATAMI											
22_2	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
22_3	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
22_4	NFH			Lights		Substrate CATAMI		Biota CATAMI											
22_5	NFH			Lights		Substrate CATAMI		Biota CATAMI											
22_6	NFH			Lights		Substrate CATAMI		Biota CATAMI											
23_1	NFH																		
23_2	NFH																		
23_3	NFH																		
23_4	NFH																		
23_5	NFH																		
23_6	NFH																		
24_1	NFH																		
24_2	NFH																		
24_3	NFH																		
24_4	NFH																		
24_5	NFH																		
24_6	NFH																		
25_1	NFH																		
25_2	NFH																		
25_3	NFH																		
25_4	NFH																		
25_5	NFH																		
25_6	NFH																		
26_1	NFH																		
26_2	NFH																		
26_3	NFH																		
26_4	NFH																		
26_5	NFH																		
26_6	NFH																		
27_1	NFH																		
27_2	NFH																		
27_3	NFH																		
27_4	NFH																		
27_5	NFH																		
27_6	NFH																		
28_1	NFH																		
28_2	NFH																		
28_3	NFH																		
28_4	NFH																		
28_5	NFH																		
28_6	NFH																		
29_1	NFH																		
29_2	NFH																		
29_3	NFH																		
29_4	NFH																		
29_5	NFH																		
29_6	NFH																		
2_1	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
