OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
npz6.10	Molly																		
npz6.12	Molly																		
npz6.13	Molly																		
npz6.14	Claude																		
npz6.15	Molly																		
npz6.17	Claude																		
npz6.18	Molly																		
npz6.2	Molly																		
npz6.20	Molly																		
npz6.21	Claude																		
npz6.22	Molly																		
npz6.24	Molly																		
npz6.26	Molly																		
npz6.27	Molly																		
npz6.28	Molly																		
npz6.36	Molly																		
npz6.4	Molly																		
npz6.5	Molly																		
npz6.6	Molly																		
npz6.8	Molly																		
npz6.9	Molly																		
npz6.BOSS41	Molly																		
npz6.C01	Molly																		
npz6.C02	Molly																		
npz9.1	Molly																		
npz9.10	Molly																		
npz9.11	Molly																		
npz9.12	Molly																		
npz9.13	Molly																		
npz9.14	Molly																		
npz9.16	Molly																		
npz9.17	Molly																		
npz9.18	Molly																		
npz9.19	Molly																		
npz9.2	Molly																		
npz9.21	Molly																		
npz9.22	Molly																		
npz9.24	Molly																		
npz9.25	Molly																		
npz9.26	Molly																		
npz9.27	Molly																		
npz9.28	Molly																		
npz9.29	Molly																		
npz9.3	Molly																		
npz9.30	Molly																		
npz9.4	Molly																		
npz9.5	Molly																		
npz9.7	Molly																		
npz9.8	Molly																		
npz9.9	Molly																		
