OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
NCB559	Katrina Bornt	9		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.355430	Longitude	115.501703	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	4.5	DateTimeIn	2014 10 29 15:52:00
NCB553	Todd Bond	10.7		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.394787	Longitude	115.491335	Location	NW Montes	Status	Fished	Site		Visibility	4.5	DateTimeIn	2014 10 29 15:11:00
NCB593	Emma Thillainath	11.3		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.523208	Longitude	115.566143	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	6	DateTimeIn	2014 10 30 13:58:00
NCB568	Katrina Bornt	9.8		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.364667	Longitude	115.561712	Location	NE Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2014 10 30 08:05:00
NCB576	Emma Thillainath	11.8		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.407578	Longitude	115.593538	Location	NE Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2014 10 30 09:54:00
NCB580	Matthew Birt	10.7		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.428093	Longitude	115.604955	Location	NE Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2014 10 30 10:05:00
NCB536	Todd Bond	9.4		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.518567	Longitude	115.456178	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	4.5	DateTimeIn	2014 10 29 10:59:00
NCB605	Emma Thillainath	8		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.612187	Longitude	115.541667	Location	SE Montes	Status	Fished	Site		Visibility	6.5	DateTimeIn	2014 10 30 16:02:00
NCB571	Matthew Birt	12.1		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.381915	Longitude	115.577432	Location	NE Montes	Status	Fished	Site		Visibility	5.5	DateTimeIn	2014 10 30 09:39:00
NCB528	Katrina Bornt	11.3		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.574138	Longitude	115.430772	Location	SW Montes	Status	Fished	Site		Visibility	4.5	DateTimeIn	2014 10 29 08:41:00
NCB525	Katrina Bornt	10.8		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.595293	Longitude	115.434155	Location	SW Montes	Status	Fished	Site		Visibility	5	DateTimeIn	2014 10 29 08:28:00
NCB560	Katrina Bornt	11.8		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.349912	Longitude	115.500005	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	5.5	DateTimeIn	2014 10 29 15:56:00
NCB526	Katrina Bornt	11.3		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.587860	Longitude	115.432407	Location	SW Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2014 10 29 08:32:00
NCB581	Matthew Birt	11.3		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.438543	Longitude	115.609750	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	4.5	DateTimeIn	2014 10 30 11:44:00
NCB527	Katrina Bornt	12.1		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.580333	Longitude	115.431532	Location	SW Montes	Status	Fished	Site		Visibility	4.5	DateTimeIn	2014 10 29 08:38:00
NCB585	Matthew Birt	11.5		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.455012	Longitude	115.586390	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	4.5	DateTimeIn	2014 10 30 11:59:00
NCB570	Katrina Bornt	9.7		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.377633	Longitude	115.573667	Location	NE Montes	Status	Fished	Site		Visibility	6.5	DateTimeIn	2014 10 30 08:12:00
NCB552	Katrina Bornt	9.1		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.400978	Longitude	115.491675	Location	NW Montes	Status	Fished	Site		Visibility	4	DateTimeIn	2014 10 29 15:07:00
NCB562	Emma Thillainath	12.8		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.340618	Longitude	115.506440	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	6	DateTimeIn	2014 10 30 07:35:00
NCB575	Emma Thillainath	9.7		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.403852	Longitude	115.589518	Location	NE Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2014 10 30 09:51:00
NCB591	Emma Thillainath	9.2		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.505072	Longitude	115.564413	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	6	DateTimeIn	2014 10 30 13:49:00
NCB579	Katrina Bornt	9.5		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.421535	Longitude	115.604073	Location	NE Montes	Status	Fished	Site		Visibility	6	DateTimeIn	2014 10 30 10:02:00
NCB556	Emma Thillainath	12.6		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.370159	Longitude	115.496871	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	5	DateTimeIn	2014 10 29 15:41:00
NCB548	Todd Bond	9.7		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.420867	Longitude	115.486673	Location	NW Montes	Status	Fished	Site		Visibility	4.5	DateTimeIn	2014 10 29 13:29:00
NCB563	Emma Thillainath	11.7		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.341097	Longitude	115.515052	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	6	DateTimeIn	2014 10 30 07:39:00
NCB561	Emma Thillainath	12.4		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.344937	Longitude	115.500575	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	5.5	DateTimeIn	2014 10 30 07:31:00
NCB592	Emma Thillainath	8.3		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.515420	Longitude	115.565037	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	5	DateTimeIn	2014 10 30 13:55:00
NCB541	Matthew Birt	10.3		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.457313	Longitude	115.463510	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	4.5	DateTimeIn	2014 10 29 13:02:00
NCB599	Emma Thillainath	8.6		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.590348	Longitude	115.579902	Location	SE Montes	Status	Fished	Site		Visibility	6.5	DateTimeIn	2014 10 30 14:27:00
NCB587	Matthew Birt	10.5		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.472068	Longitude	115.580147	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	5.5	DateTimeIn	2014 10 30 12:08:00
NCB549	Katrina Bornt	8.6		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.415988	Longitude	115.491330	Location	NW Montes	Status	Fished	Site		Visibility	4.5	DateTimeIn	2014 10 29 13:33:00
NCB577	Emma Thillainath	11.1		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.412343	Longitude	115.595562	Location	NE Montes	Status	Fished	Site		Visibility	7.5	DateTimeIn	2014 10 30 09:56:00
NCB600	Emma Thillainath	12		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.599537	Longitude	115.577133	Location	SE Montes	Status	Fished	Site		Visibility	6.5	DateTimeIn	2014 10 30 14:33:00
NCB564	Emma Thillainath	10.9		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.342325	Longitude	115.524050	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	6.5	DateTimeIn	2014 10 30 07:46:00
NCB522	Matthew Birt	10.6		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.608262	Longitude	115.436625	Location	SW Montes	Status	Fished	Site		Visibility	4.5	DateTimeIn	2014 10 29 08:15:00
NCB550	Todd Bond	10.2		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.409093	Longitude	115.489727	Location	NW Montes	Status	Fished	Site		Visibility	4	DateTimeIn	2014 10 29 13:39:00
NCB544	Katrina Bornt	9.4		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.440360	Longitude	115.473022	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	4	DateTimeIn	2014 10 29 13:11:00
NCB595	Emma Thillainath	10.5		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.543220	Longitude	115.571978	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	6	DateTimeIn	2014 10 30 14:08:00
