OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
NCB680	Derek	30.3		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.342	Longitude	115.53515	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	7	DateTimeIn	2015 01 19 11:56:00
NCB678	Matt	31.2		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.349	Longitude	115.54716	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	6	DateTimeIn	2015 01 19 11:49:00
NCB663	Todd	64		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.164	Longitude	115.39062	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 18 14:55:00
NCB669	Matt	43.5		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.367	Longitude	115.60213	Location	Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2015 01 19 08:29:00
NCB637	Katrina	29.4		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.352	Longitude	115.46682	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	8	DateTimeIn	2015 01 18 08:58:00
NCB618	Katrina	40.4		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.383	Longitude	115.37587	Location	Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2015 01 17 11:40:00
NCB631	Emma	53		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.314	Longitude	115.28227	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 17 14:34:00
NCB640	Todd	42.1		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.327	Longitude	115.4639	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	7	DateTimeIn	2015 01 18 09:11:00
NCB691	Todd	54.2		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.29	Longitude	115.63811	Location	Montes	Status	Fished	Site		Visibility	7	DateTimeIn	2015 01 19 15:18:00
NCB721	Todd	53.3		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.207	Longitude	115.33126	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 21 11:45:00
NCB713	Katrina	43		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.211	Longitude	115.35904	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 21 09:13:00
NCB659	Todd	41.4		CampaignID	2015_01_Montes.transect_stereoBRUVs	Latitude	-20.2	Longitude	115.4004	Location	Montes	Status	Fished	Site		Visibility	8	DateTimeIn	2015 01 18 14:39:00
