OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
1.01	Brooke Gibbons	NA		CampaignID		Latitude		Longitude		Location		Status		Site		Visibility		DateTimeIn	
1.02	Brooke Gibbons			CampaignID		Latitude		Longitude		Location		Status		Site		Visibility		DateTimeIn	
1.03	Charlotte Aston			CampaignID		Latitude		Longitude		Location		Status		Site		Visibility		DateTimeIn	
1.04	Charlotte Aston																		
1.05	Charlotte Aston																		
1.06	Charlotte Aston																		
10.01	Charlotte Aston	93																	
10.02	Charlotte Aston	95																	
10.03	Charlotte Aston	88																	
10.04	Charlotte Aston	110																	
10.07	Charlotte Aston	138																	
10.08	Charlotte Aston	157																	
10.09	Brooke Gibbons	160		CampaignID		Latitude		Longitude		Location		Status		Site		Visibility		DateTimeIn	
10.11	Brooke Gibbons			CampaignID		Latitude		Longitude		Location		Status		Site		Visibility		DateTimeIn	
10.12	Brooke Gibbons			CampaignID		Latitude		Longitude		Location		Status		Site		Visibility		DateTimeIn	
10.13	Brooke Gibbons			CampaignID		Latitude		Longitude		Location		Status		Site		Visibility		DateTimeIn	
10.14	Charlotte Aston	74																	
10.15	Charlotte Aston	84																	
11.01	Charlotte Aston	84																	
11.02	Charlotte Aston	81																	
11.03	Charlotte Aston	79																	
11.04	Charlotte Aston	91																	
11.05	Charlotte Aston	91																	
11.06	Charlotte Aston	77																	
12.02	Charlotte Aston			CampaignID		Latitude		Longitude		Location		Status		Site		Visibility		DateTimeIn	
12.03	Charlotte Aston	65																	
12.04	Charlotte Aston	70																	
12.05	Charlotte Aston	86																	
12.06	Charlotte Aston	94																	
12.11	Charlotte Aston	100																	
13.02	Charlotte Aston	69																	
13.03	Charlotte Aston	83																	
13.04	Charlotte Aston	92																	
13.05	Charlotte Aston	96																	
13.06	Charlotte Aston	94.5																	
13.08	Charlotte Aston	85																	
14.01	Charlotte Aston	96																	
14.02	Charlotte Aston	101																	
14.03	Charlotte Aston	109																	
14.06	Charlotte Aston	100																	
14.11	Charlotte Aston	75																	
