OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
1	Kaitlin																		
11	Henry																		
12	Henry																		
13	Kaitlin																		
14	Kaitlin																		
15	Kaitlin																		
16	Henry																		
17	Henry																		
18	Henry																		
19	Kaitlin																		
2	Kaitlin																		
20	Henry																		
21	Kaitlin																		
22	Henry																		
23	Henry																		
24	Kaitlin																		
25	Kaitlin																		
26	Kaitlin																		
27	Kaitlin																		
28	Kaitlin																		
29	Henry																		
3	Kaitlin																		
30	Kaitlin																		
31	Kaitlin																		
32	Henry																		
33	Kaitlin																		
34	Kaitlin																		
35	Kaitlin																		
36	Henry																		
37	Kaitlin																		
38	Kaitlin																		
39	Kaitlin																		
4	Kaitlin																		
40	Henry																		
41	Henry																		
42	Kaitlin																		
43	Henry																		
44	Henry																		
45	Claude																		
46	Kaitlin																		
47	Kaitlin																		
48	Henry																		
5	Kaitlin																		
50	Kaitlin																		
51	Henry																		
52	Molly																		
53	Kaitlin																		
54	Molly																		
55	Claude																		
56	Kaitlin																		
57	Kaitlin																		
58	Kaitlin																		
59	Kaitlin																		
6	Kaitlin																		
60	Kaitlin																		
61	Kaitlin																		
62	Henry																		
63	Kaitlin																		
64	Kaitlin																		
7	Kaitlin																		
8	Kaitlin																		
9	Henry																		
