OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
01	Hayley																		
02	Hayley																		
03	Hayley																		
04	Hayley																		
05	Hayley																		
06	Hayley																		
07	Hayley																		
08	Hayley																		
09	Hayley																		
10	Hayley																		
11	Hayley																		
12	hayley																		
13	Hayley																		
14	Hayley																		
15	Hayley																		
16	Hayley																		
17	Hayley																		
18	Hayley																		
20	Hayley																		
21	Hayley																		
22	Hayley																		
23	Hayley																		
24	Hayley																		
25	Hayley																		
26	Hayley																		
27	Hayley																		
28	Hayley																		
29	Hayley																		
30	Hayley																		
31	Hayley																		
32	Hayley																		
33	Hayley																		
34	Hayley																		
35	Hayley																		
36	Hayley																		
37	Hayley																		
38	Hayley																		
39	Hayley																		
40	Hayley																		
